0001;Республика Адыгея
0002;Республика Башкортостан
0003;Республика Бурятия
0004;Республика Алтай
0005;Республика Дагестан
0006;Республика Ингушетия
0007;Кабардино-Балкарская Республика
0008;Республика Калмыкия
0009;Карачаево-Черкесская Республика
0010;Республика Карелия
0011;Республика Коми
0012;Республика Марий Эл
0013;Республика Мордовия
0014;Республика Саха (Якутия)
0015;Республика Северная Осетия-Алания
0016;Республика Татарстан
0017;Республика Тыва
0018;Удмуртская Республика
0019;Республика Хакасия
0020;Чеченская Республика
0021;Чувашская Республика
0022;Алтайский край
0023;Краснодарский край
0024;Красноярский край
0025;Приморский край
0026;Ставропольский край
0027;Хабаровский край
0028;Амурская область
0029;Архангельская область
0030;Астраханская область
0031;Белгородская область
0032;Брянская область
0033;Владимирская область
0034;Волгоградская область
0035;Вологодская область
0036;Воронежская область
0037;Ивановская область
0038;Иркутская область
0039;Калининградская область
0040;Калужская область
0041;Камчатский край
0042;Кемеровская область
0043;Кировская область
0044;Костромская область
0045;Курганская область
0046;Курская область
0047;Ленинградская область
0048;Липецкая область
0049;Магаданская область
0050;Московская область
0051;Мурманская область
0052;Нижегородская область
0053;Новгородская область
0054;Новосибирская область
0055;Омская область
0056;Оренбургская область
0057;Орловская область
0058;Пензенская область
0059;Пермский край
0060;Псковская область
0061;Ростовская область
0062;Рязанская область
0063;Самарская область
0064;Саратовская область
0065;Сахалинская область
0066;Свердловская область
0067;Смоленская область
0068;Тамбовская область
0069;Тверская область
0070;Томская область
0071;Тульская область
0072;Тюменская область
0073;Ульяновская область
0074;Челябинская область
0075;Забайкальский край
0076;Ярославская область
0077;Москва
0078;Санкт-Петербург
0079;Еврейская автономная область
0080;Забайкальский край Агинский Бурятский округ
0083;Ненецкий автономный округ
0084;Таймырский автономный округ
0085;Иркутская обл Усть-Ордынский Бурятский округ
0086;Ханты-Мансийский автономный округ
0087;Чукотский автономный округ
0089;Ямало-Ненецкий автономный округ
0091;Крым
0092;Севастополь
9901;Байконур
0099;Другое
